id,title,company_name,location_city,location_area,salary_min,salary_max,description,skills,job_type
101,"Senior Backend Engineer","PT. Teknologi Maju","Jakarta","Pusat Kota",12000000,18000000,"Membangun dan memelihara API sisi server yang andal dan scalable untuk produk keuangan kami.","Python;Go;SQL;Docker;Kubernetes","Full-time"
102,"Content Writer (Travel)","Jelajah Nusantara","Yogyakarta","Pusat Kota",4500000,6000000,"Menulis artikel blog, panduan perjalanan, dan konten media sosial yang menarik tentang destinasi di Indonesia.","SEO;Copywriting;Wordpress","Remote"
103,"Pengelola Kebun Hidroponik","Agro Lestari","Lembang","Pedesaan",5000000,7000000,"Mengelola operasional harian kebun hidroponik, mulai dari penanaman hingga panen sayuran organik.","Hidroponik;Manajemen Pertanian","Full-time"
104,"Digital Marketing Specialist","Klinik Cantik","Surabaya","Pusat Kota",6000000,9000000,"Mengelola kampanye iklan di media sosial (Meta Ads, TikTok Ads) dan Google Ads untuk meningkatkan brand awareness.","Meta Ads;Google Ads;SEO;Analisis Data","Full-time"
105,"UI/UX Designer","Inovasi Digital","Bandung","Pusat Kota",8000000,12000000,"Merancang wireframe, prototipe, dan antarmuka pengguna yang intuitif dan menarik untuk aplikasi mobile.","Figma;Sketch;Adobe XD;User Research","Full-time"
106,"Barista & Kepala Kedai","Kopi Senja","Semarang","Pusat Kota",3500000,5000000,"Menyajikan kopi berkualitas dan mengelola inventaris serta staf kedai kopi yang sedang berkembang.","Espresso;Manual Brew;Manajemen Stok","Full-time"
107,"Data Analyst","Marketplace Cepat","Jakarta","Pusat Kota",9000000,14000000,"Menganalisis data transaksi untuk menemukan tren perilaku konsumen dan memberikan rekomendasi bisnis.","SQL;Python;Pandas;Tableau","Full-time"
108,"Customer Service Representative","Pusat Bantuan 24/7","Yogyakarta","Kantor",4000000,5500000,"Memberikan dukungan dan solusi kepada pelanggan melalui telepon, email, dan live chat.","Komunikasi;Problem Solving;CRM","Full-time"
109,"Guru Bahasa Inggris Online","Cakap Global","Jakarta","Remote",5000000,8000000,"Mengajar kelas bahasa Inggris secara online untuk siswa dari berbagai tingkat usia.","Mengajar;Bahasa Inggris;Komunikasi Online","Part-time"
110,"Manajer Proyek Konstruksi","Bangun Persada","Bekasi","Kawasan Industri",10000000,15000000,"Mengawasi proyek pembangunan gudang dari awal hingga selesai, memastikan sesuai anggaran dan jadwal.","Manajemen Proyek;AutoCAD;Teknik Sipil","Full-time"
111,"Social Media Manager","Bali Vibes Resort","Denpasar","Area Wisata",7000000,10000000,"Mengelola semua akun media sosial resort, membuat konten visual yang estetik dan berinteraksi dengan audiens.","Instagram;TikTok;Fotografi;Videografi","Full-time"
112,"Akuntan Junior","Firma Akurat","Medan","Pusat Kota",5000000,7000000,"Membantu akuntan senior dalam menyusun laporan keuangan, melakukan rekonsiliasi bank, dan mengurus perpajakan.","Akuntansi;Pajak;Microsoft Excel","Full-time"
113,"Web Developer (Wordpress)","UMKM Digital","Bandung","Remote",6000000,8000000,"Membuat dan memelihara website untuk klien UMKM menggunakan Wordpress dan plugin-plugin pendukungnya.","Wordpress;PHP;CSS;Elementor","Remote"
114,"Pekerja Gudang","Logistik Express","Tangerang","Kawasan Industri",4500000,5500000,"Melakukan proses inbound dan outbound barang, serta stock opname secara berkala.","Manajemen Gudang;Fisik Kuat","Full-time"
115,"Chef Masakan Sunda","Resto Saung Awi","Bogor","Pedesaan",6000000,8000000,"Memimpin tim dapur dan memastikan kualitas serta konsistensi masakan khas Sunda yang disajikan.","Masakan Sunda;Manajemen Dapur","Full-time"
116,"HR Generalist","Pabrik Garmen Sejahtera","Solo","Kawasan Industri",5500000,7500000,"Mengurus proses rekrutmen, penggajian, BPJS, dan administrasi personalia untuk ratusan karyawan.","HRD;UU Ketenagakerjaan;Payroll","Full-time"
117,"Terapis Spa","Lembah Spa Ubud","Gianyar","Area Wisata",4000000,6000000,"Memberikan layanan pijat dan perawatan tubuh kepada tamu dengan standar pelayanan bintang lima.","Pijat Tradisional;Perawatan Tubuh","Full-time"
118,"Video Editor","Creative Content Hub","Jakarta","Remote",7000000,11000000,"Mengedit konten video untuk kanal YouTube dan TikTok, menambahkan efek, musik, dan grafis yang menarik.","Adobe Premiere Pro;After Effects","Remote"
119,"Sales Properti","Perumahan Griya Asri","Depok","Pusat Kota",4000000,15000000,"Menjual unit perumahan kepada calon pembeli, melakukan presentasi produk, dan negosiasi. (Gaji termasuk komisi)","Penjualan;Negosiasi;Komunikasi","Full-time"
120,"Staf Riset Lingkungan","Yayasan Hutan Kita","Palangkaraya","Pedesaan",6000000,8000000,"Melakukan penelitian lapangan, mengumpulkan data flora dan fauna, dan membuat laporan konservasi.","Biologi;Konservasi;GPS","Full-time"
121,"Perawat IGD","RS Harapan Sehat","Makassar","Pusat Kota",5500000,7000000,"Memberikan perawatan medis darurat kepada pasien di Instalasi Gawat Darurat.","Keperawatan Gawat Darurat;Triase;BLS;ACLS","Full-time"
122,"Mobile Developer (Android)","Aplikasi Karya Anak Bangsa","Jakarta","Pusat Kota",10000000,16000000,"Mengembangkan dan memelihara aplikasi Android native menggunakan Kotlin.","Kotlin;Android SDK;Jetpack Compose","Full-time"
123,"Analis Kredit","Bank Amanah Jaya","Bandung","Pusat Kota",7000000,10000000,"Menganalisis permohonan kredit dari nasabah korporat untuk menilai kelayakan kredit.","Analisis Keuangan;Manajemen Risiko","Full-time"
124,"DevOps Engineer","Cloud Service ID","Surabaya","Pusat Kota",11000000,17000000,"Mengotomatisasi proses CI/CD, mengelola infrastruktur cloud (AWS/GCP), dan memastikan keandalan sistem.","AWS;GCP;Terraform;Ansible;CI/CD","Full-time"
125,"Admin Toko Online","Fashion Cepat Laku","Tangerang","Remote",3500000,4500000,"Mengelola pesanan masuk dari marketplace, membalas chat pelanggan, dan mengupdate stok produk.","Marketplace (Tokopedia/Shopee);Komunikasi","Full-time"
126,"Arsitek","Biro Desain Modern","Jakarta","Pusat Kota",9000000,13000000,"Merancang konsep bangunan komersial dan residensial, dari sketsa hingga gambar kerja detail.","AutoCAD;SketchUp;Revit;Lumion","Full-time"
127,"Pustakawan Sekolah","Sekolah Cita-Cita","Depok","Pusat Kota",4000000,5000000,"Mengelola koleksi buku perpustakaan, membantu siswa dalam mencari referensi, dan mengadakan kegiatan literasi.","Manajemen Perpustakaan;Literasi","Full-time"
128,"Quality Control Pabrik Makanan","Pabrik Rasa Enak","Sidoarjo","Kawasan Industri",5000000,6500000,"Memastikan kualitas bahan baku dan produk jadi sesuai dengan standar keamanan pangan (HACCP).","Quality Control;HACCP;GMP","Full-time"
129,"Research and Development (R&D) Staff","Perusahaan Kosmetik Alami","Bogor","Pusat Kota",6000000,8000000,"Merumuskan produk kosmetik baru berbasis bahan-bahan alami dan melakukan uji stabilitas.","Kimia;Farmasi;Formulasi Kosmetik","Full-time"
130,"Teknisi Jaringan Komputer","Internet Cepat Net","Bandung","Kantor",5000000,7000000,"Melakukan instalasi, konfigurasi, dan troubleshooting jaringan LAN/WAN di kantor klien.","TCP/IP;Routing;Switching;MikroTik","Full-time"
131,"Graphic Designer","Percetakan Warna Warni","Semarang","Pusat Kota",4500000,6000000,"Membuat desain untuk materi cetak seperti brosur, spanduk, dan kemasan produk.","Adobe Photoshop;Illustrator;CorelDRAW","Full-time"
132,"Penerjemah Bahasa Jepang (Lisan)","Industri Otomotif Tbk","Karawang","Kawasan Industri",8000000,12000000,"Menjadi penerjemah dalam rapat dan kunjungan dari ekspatriat Jepang di lingkungan pabrik.","Bahasa Jepang (N2/N1);Interpretasi","Kontrak"
